Evidence	Boolean	Description
IDA	TRUE	Inferred_from_Direct_Assay
IPI	TRUE	Inferred_from_Physical_Interaction
IMP	TRUE	Inferred_from_Mutant_Phenotype
IGI	TRUE	Inferred_from_Genetic_Interaction
IEP	TRUE	Inferred_from_Expression_Pattern
EXP	TRUE	Inferred_from_Experiment
HTP	TRUE	Inferred_from_High_Throughput_Experiment
HDA	TRUE	Inferred_from_High_Throughput_Direct_Assay
HMP	TRUE	Inferred_from_High_Throughput_Mutant_Phenotype
HGI	TRUE	Inferred_from_High_Throughput_Genetic_Interaction
HEP	TRUE	Inferred_from_High_Throughput_Expression_Pattern
IBA	TRUE	Inferred_from_Biological_aspect_of_Ancestor
IBD	TRUE	Inferred_from_Biological_aspect_of_Descendant
IKR	TRUE	Inferred_from_Key_Residues
IRD	TRUE	Inferred_from_Rapid_Divergence
ISS	TRUE	Inferred_from_Sequence_or_structural_Similarity
ISO	TRUE	Inferred_from_Sequence_Orthology
ISA	TRUE	Inferred_from_Sequence_Alignment
ISM	TRUE	Inferred_from_Sequence_Model
IGC	TRUE	Inferred_from_Genomic_Context
RCA	TRUE	Inferred_from_Reviewed_Computational_Analysis
TAS	TRUE	Traceable_Author_Statement
NAS	TRUE	Non-traceable_Author_Statement
IC	TRUE	Inferred_by_Curator
ND	TRUE	No_biological_Data_available
IEA	TRUE	Inferred_from_Electronic_Annotation
