ENSEMBL	GO_ID	Level	Category	GENE_ID	EVIDENCE	SYMBOL
ENSG00000141510	GO:0002252	1	immune effector process	7157	IEA	TP53
ENSG00000141510	GO:0002263	2	cell activation involved in immune response	7157	IEA	TP53
ENSG00000141510	GO:0002285	3,4	lymphocyte activation involved in immune response	7157	IEA	TP53
ENSG00000141510	GO:0002286	4,5	T cell activation involved in immune response	7157	IEA	TP53
ENSG00000141510	GO:0002309	5,6	T cell proliferation involved in immune response	7157	IEA	TP53
ENSG00000141510	GO:0002326	5	B cell lineage commitment	7157	IEA	TP53
ENSG00000141510	GO:0002360	5	T cell lineage commitment	7157	IEA	TP53
ENSG00000141510	GO:0002366	2,3	leukocyte activation involved in immune response	7157	IEA	TP53
ENSG00000141510	GO:0002376	0	immune system process	7157	IEA	TP53
ENSG00000141510	GO:0002376	0	immune system process	7157	IMP	TP53
ENSG00000141510	GO:0002520	1	immune system development	7157	IMP	TP53
ENSG00000141510	GO:0006955	1	immune response	7157	IEA	TP53
ENSG00000141510	GO:0030098	3	lymphocyte differentiation	7157	IEA	TP53
ENSG00000141510	GO:0030183	4	B cell differentiation	7157	IEA	TP53
ENSG00000141510	GO:0030217	4	T cell differentiation	7157	IEA	TP53
ENSG00000141510	GO:0033077	5	T cell differentiation in thymus	7157	IEA	TP53
ENSG00000141510	GO:0034341	3	response to type II interferon	7157	IEA	TP53
ENSG00000141510	GO:0042098	4	T cell proliferation	7157	IEA	TP53
ENSG00000141510	GO:0042110	3	T cell activation	7157	IEA	TP53
ENSG00000141510	GO:0042113	3	B cell activation	7157	IEA	TP53
ENSG00000141510	GO:0045087	2	innate immune response	7157	IEA	TP53
ENSG00000141510	GO:0045321	1	leukocyte activation	7157	IEA	TP53
ENSG00000141510	GO:0046649	2	lymphocyte activation	7157	IEA	TP53
ENSG00000141510	GO:0046651	3	lymphocyte proliferation	7157	IEA	TP53
ENSG00000141510	GO:0048534	2	hematopoietic or lymphoid organ development	7157	IMP	TP53
ENSG00000141510	GO:0048539	3	bone marrow development	7157	IMP	TP53
ENSG00000141510	GO:0060333	5	type II interferon-mediated signaling pathway	7157	IEA	TP53
ENSG00000141510	GO:0071346	4	cellular response to type II interferon	7157	IEA	TP53
ENSG00000012048	NA	NA	NA	NA	NA	NA
ENSG00000157764	GO:0002253	1,3,4	activation of immune response	673	IEA	BRAF
ENSG00000157764	GO:0002360	5	T cell lineage commitment	673	IEA	BRAF
ENSG00000157764	GO:0002376	0	immune system process	673	IEA	BRAF
