ENSEMBL	GO_ID	Level	Category	GENE_ID	EVIDENCE	SYMBOL
ENSMMUG00000002452	GO:0002230	5	positive regulation of defense response to virus by host	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0002252	1	immune effector process	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0002376	0	immune system process	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0002682	1	regulation of immune system process	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0002697	2	regulation of immune effector process	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0050688	3	regulation of defense response to virus	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0050691	4	regulation of defense response to virus by host	715064	IEA	SLC35C1
ENSMMUG00000002452	GO:0051607	2	defense response to virus	715064	IEA	SLC35C1
ENSMMUG00000012501	NA	NA	NA	NA	NA	NA
ENSMMUG00000020942	NA	NA	NA	NA	NA	NA
ENSMMUG00000011183	NA	NA	NA	NA	NA	NA
ENSMMUG00000019880	NA	NA	NA	NA	NA	NA
ENSMMUG00000012835	NA	NA	NA	NA	NA	NA
ENSMMUG00000002543	NA	NA	NA	NA	NA	NA
