ENSEMBL	GO_ID	Level	Category	GENE_ID	EVIDENCE	SYMBOL
ENSMUSG00000059552	GO:0002252	1	immune effector process	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002263	2	cell activation involved in immune response	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002285	3,4	lymphocyte activation involved in immune response	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002286	4,5	T cell activation involved in immune response	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002309	5,6	T cell proliferation involved in immune response	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002326	5	B cell lineage commitment	22059	IMP	Trp53
ENSMUSG00000059552	GO:0002360	5	T cell lineage commitment	22059	IMP	Trp53
ENSMUSG00000059552	GO:0002366	2,3	leukocyte activation involved in immune response	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002376	0	immune system process	22059	IEA	Trp53
ENSMUSG00000059552	GO:0002376	0	immune system process	22059	IGI	Trp53
ENSMUSG00000059552	GO:0002376	0	immune system process	22059	IMP	Trp53
ENSMUSG00000059552	GO:0002520	1	immune system development	22059	IEA	Trp53
ENSMUSG00000059552	GO:0006955	1	immune response	22059	IGI	Trp53
ENSMUSG00000059552	GO:0006955	1	immune response	22059	IMP	Trp53
ENSMUSG00000059552	GO:0030098	3	lymphocyte differentiation	22059	IGI	Trp53
ENSMUSG00000059552	GO:0030098	3	lymphocyte differentiation	22059	IMP	Trp53
ENSMUSG00000059552	GO:0030183	4	B cell differentiation	22059	IMP	Trp53
ENSMUSG00000059552	GO:0030217	4	T cell differentiation	22059	IGI	Trp53
ENSMUSG00000059552	GO:0030217	4	T cell differentiation	22059	IMP	Trp53
ENSMUSG00000059552	GO:0033077	5	T cell differentiation in thymus	22059	IGI	Trp53
ENSMUSG00000059552	GO:0034341	3	response to type II interferon	22059	IMP	Trp53
ENSMUSG00000059552	GO:0042098	4	T cell proliferation	22059	IGI	Trp53
ENSMUSG00000059552	GO:0042110	3	T cell activation	22059	IGI	Trp53
ENSMUSG00000059552	GO:0042110	3	T cell activation	22059	IMP	Trp53
