ENSEMBL	GO_ID	Level	Category	GENE_ID	EVIDENCE	SYMBOL
ENSDARG00000035559	GO:0002262	1	myeloid cell homeostasis	30590	IGI	tp53
ENSDARG00000035559	GO:0002376	0	immune system process	30590	IGI	tp53
ENSDARG00000035559	GO:0002520	1	immune system development	30590	IGI	tp53
ENSDARG00000035559	GO:0030097	3	hemopoiesis	30590	IGI	tp53
ENSDARG00000035559	GO:0030099	4	myeloid cell differentiation	30590	IGI	tp53
ENSDARG00000035559	GO:0030218	3,5	erythrocyte differentiation	30590	IGI	tp53
ENSDARG00000035559	GO:0034101	2	erythrocyte homeostasis	30590	IGI	tp53
ENSDARG00000035559	GO:0043249	5,7	erythrocyte maturation	30590	IGI	tp53
ENSDARG00000035559	GO:0048534	2	hematopoietic or lymphoid organ development	30590	IGI	tp53
ENSDARG00000035559	GO:0048821	4,6	erythrocyte development	30590	IGI	tp53
ENSDARG00000035559	GO:0060216	4	definitive hemopoiesis	30590	IGI	tp53
ENSDARG00000035559	GO:0061515	5	myeloid cell development	30590	IGI	tp53
ENSDARG00000098242	NA	NA	NA	NA	NA	NA
ENSDARG00000017661	NA	NA	NA	NA	NA	NA
ENSDARG00000013847	NA	NA	NA	NA	NA	NA
ENSDARG00000079015	NA	NA	NA	NA	NA	NA
ENSDARG00000044356	NA	NA	NA	NA	NA	NA
ENSDARG00000101637	NA	NA	NA	NA	NA	NA
