Evidence	Boolean	Description
IDA	TRUE	Inferred_from_Direct_Assay
IPI	TRUE	Inferred_from_Physical_Interaction
IMP	TRUE	Inferred_from_Mutant_Phenotype
IGI	TRUE	Inferred_from_Genetic_Interaction
IEP	TRUE	Inferred_from_Expression_Pattern
EXP	TRUE	Inferred_from_Experiment
HTP	TRUE	Inferred_from_High_Throughput_Experiment
HDA	TRUE	Inferred_from_High_Throughput_Direct_Assay
HMP	TRUE	Inferred_from_High_Throughput_Mutant_Phenotype
HGI	TRUE	Inferred_from_High_Throughput_Genetic_Interaction
HEP	TRUE	Inferred_from_High_Throughput_Expression_Pattern
IBA	FALSE	Inferred_from_Biological_aspect_of_Ancestor
IBD	FALSE	Inferred_from_Biological_aspect_of_Descendant
IKR	FALSE	Inferred_from_Key_Residues
IRD	FALSE	Inferred_from_Rapid_Divergence
ISS	FALSE	Inferred_from_Sequence_or_structural_Similarity
ISO	FALSE	Inferred_from_Sequence_Orthology
ISA	FALSE	Inferred_from_Sequence_Alignment
ISM	FALSE	Inferred_from_Sequence_Model
IGC	FALSE	Inferred_from_Genomic_Context
RCA	FALSE	Inferred_from_Reviewed_Computational_Analysis
TAS	FALSE	Traceable_Author_Statement
NAS	FALSE	Non-traceable_Author_Statement
IC	FALSE	Inferred_by_Curator
ND	FALSE	No_biological_Data_available
IEA	FALSE	Inferred_from_Electronic_Annotation
