Gene_symbol	n_ensembl	ensembl_ids
CACNA2D4	2	ENSG00000151062, ENSG00000284953
CD300C	2	ENSG00000167850, ENSG00000291920
CLSTN3	2	ENSG00000139182, ENSG00000288427
CTSB	2	ENSG00000164733, ENSG00000285132
CYFIP1	3	ENSG00000273749, ENSG00000288461, ENSG00000280618
DUSP16	2	ENSG00000111266, ENSG00000280962
DUSP8	4	ENSG00000184545, ENSG00000291431, ENSG00000273793, ENSG00000278165
DYNC1I2	2	ENSG00000077380, ENSG00000292102
GCNT2	2	ENSG00000111846, ENSG00000285222
GLIS2	2	ENSG00000126603, ENSG00000274636
IER3	6	ENSG00000137331, ENSG00000237155, ENSG00000230128, ENSG00000227231, ENSG00000235030, ENSG00000206478
LILRA1	4	ENSG00000104974, ENSG00000274935, ENSG00000277398, ENSG00000275525
LILRB1	5	ENSG00000104972, ENSG00000274669, ENSG00000276452, ENSG00000277807, ENSG00000277134
LILRB4	5	ENSG00000186818, ENSG00000278555, ENSG00000278279, ENSG00000276042, ENSG00000275730
LTB	8	ENSG00000227507, ENSG00000204487, ENSG00000223448, ENSG00000236925, ENSG00000231314, ENSG00000236237, ENSG00000238114, ENSG00000206437
OPN3	2	ENSG00000054277, ENSG00000203668
PATL2	2	ENSG00000229474, ENSG00000282077
PHF1	3	ENSG00000112511, ENSG00000225553, ENSG00000239756
RHOU	2	ENSG00000116574, ENSG00000284984
RINL	2	ENSG00000187994, ENSG00000282895
