gene1	gene2	connection_type	values
ENSG00000001036	ENSG00000004799	common_go_term	GO:0005996(IDA—IMP); GO:0019318(IDA—IMP)
ENSG00000001036	ENSG00000010327	common_go_term	GO:0009617(IMP—IDA)
ENSG00000001036	ENSG00000093072	common_go_term	GO:1901658(IDA—IDA)
ENSG00000001036	ENSG00000100097	common_go_term	GO:0052372(IMP—IDA)
ENSG00000001036	ENSG00000104972	common_go_term	GO:0009617(IMP—IEP)
ENSG00000001036	ENSG00000106546	common_go_term	GO:0009617(IMP—IDA)
ENSG00000001036	ENSG00000111961	common_go_term	GO:0009617(IMP—IMP)
ENSG00000001036	ENSG00000112799	common_go_term	GO:0009617(IMP—IGI)
ENSG00000001036	ENSG00000128604	common_go_term	GO:0009617(IMP—IDA)
ENSG00000001036	ENSG00000135218	common_go_term	GO:0009617(IMP—IDA)
ENSG00000001036	ENSG00000138448	common_go_term	GO:0035635(IMP—IDA); GO:0052372(IMP—IDA); GO:2000535(IMP—IDA)
ENSG00000001036	ENSG00000143891	common_go_term	GO:0005996(IDA—IDA); GO:0019318(IDA—IDA)
ENSG00000001036	ENSG00000161643	common_go_term	GO:0009617(IMP—IDA)
ENSG00000001036	ENSG00000165140	common_go_term	GO:0005996(IDA—IMP); GO:0019318(IDA—IMP)
ENSG00000001036	ENSG00000168961	common_go_term	GO:0009617(IMP—IMP); GO:0052372(IMP—IDA)
ENSG00000001036	ENSG00000169385	common_go_term	GO:0009617(IMP—IMP)
ENSG00000001036	ENSG00000169413	common_go_term	GO:0009617(IMP—IDA)
ENSG00000001036	ENSG00000171163	common_go_term	GO:0005996(IDA—IMP); GO:0019318(IDA—IMP)
ENSG00000001036	ENSG00000179163	common_go_term	GO:0005996(IDA—IDA); GO:0006004(IDA—IDA); GO:0016137(IDA—IDA); GO:0016139(IDA—IDA); GO:0019318(IDA—IDA); GO:1901658(IDA—IDA)
ENSG00000001036	ENSG00000197629	common_go_term	GO:0009617(IMP—IDA); GO:0009617(IMP—IMP)
ENSG00000001036	ENSG00000214274	common_go_term	GO:0009617(IMP—IMP)
ENSG00000001036	ENSG00000274669	common_go_term	GO:0009617(IMP—IEP)
ENSG00000001036	ENSG00000276452	common_go_term	GO:0009617(IMP—IEP)
ENSG00000001036	ENSG00000277134	common_go_term	GO:0009617(IMP—IEP)
ENSG00000001036	ENSG00000277807	common_go_term	GO:0009617(IMP—IEP)
ENSG00000001084	ENSG00000004799	common_go_term	GO:0009889(IDA—IMP); GO:0019219(IDA—IMP); GO:0019752(IDA—IMP); GO:0034654(IDA—IMP); GO:0042981(IDA—IMP); GO:0043066(IDA—IMP); GO:0043069(IDA—IMP); GO:0043436(IDA—IMP); GO:0080090(IDA—IMP)
ENSG00000001084	ENSG00000012061	common_go_term	GO:0009892(IDA—IMP); GO:0010605(IDA—IMP); GO:0019219(IDA—IMP); GO:0045934(IDA—IMP); GO:0060255(IDA—IMP); GO:0080090(IDA—IMP); GO:0090304(IDA—IDA); GO:0009892(IDA—IMP)
ENSG00000001084	ENSG00000013561	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0051252(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000052795	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IDA); GO:0010605(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0045892(IDA—IDA); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:1902679(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000054277	common_go_term	GO:0009889(IDA—IMP); GO:0009890(IDA—IMP); GO:0009892(IDA—IMP); GO:0042981(IDA—IMP); GO:0043066(IDA—IMP); GO:0043069(IDA—IMP)
ENSG00000001084	ENSG00000064393	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IMP); GO:0009889(IDA—IDA); GO:0009890(IDA—IMP); GO:0009892(IDA—IDA); GO:0010467(IDA—IMP); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IMP); GO:0010605(IDA—IDA); GO:0016070(IDA—IMP); GO:0019219(IDA—IDA); GO:0032774(IDA—IMP); GO:0034654(IDA—IDA); GO:0045892(IDA—IMP); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IMP); GO:0060255(IDA—IDA); GO:0080090(IDA—IMP); GO:0090304(IDA—IDA); GO:0141187(IDA—IMP); GO:1902679(IDA—IDA); GO:2001141(IDA—IMP); GO:0006351(IDA—IDA); GO:0006355(IDA—IMP); GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IMP); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IMP); GO:0010605(IDA—IDA); GO:0016070(IDA—IMP); GO:0019219(IDA—IDA); GO:0032774(IDA—IMP); GO:0034654(IDA—IDA); GO:0045892(IDA—IMP); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IMP)
ENSG00000001084	ENSG00000077150	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0051252(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000078687	common_go_term	GO:0009889(IDA—IDA); GO:0009890(IDA—IGI); GO:0009892(IDA—IDA); GO:0010467(IDA—IGI); GO:0010468(IDA—IDA); GO:0010556(IDA—IGI); GO:0010558(IDA—IDA); GO:0010605(IDA—IGI); GO:0016070(IDA—IDA); GO:0019219(IDA—IGI); GO:0051252(IDA—IDA); GO:0060255(IDA—IGI); GO:0080090(IDA—IDA); GO:0090304(IDA—IGI); GO:0009889(IDA—IDA); GO:0009890(IDA—IGI); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IGI); GO:0010605(IDA—IDA); GO:0016070(IDA—IDA)
ENSG00000001084	ENSG00000085741	common_go_term	GO:0006351(IDA—IMP); GO:0006355(IDA—IMP); GO:0009889(IDA—IMP); GO:0010467(IDA—IMP); GO:0010468(IDA—IMP); GO:0010556(IDA—IMP); GO:0016070(IDA—IMP); GO:0019219(IDA—IMP); GO:0032774(IDA—IMP); GO:0034654(IDA—IMP); GO:0051252(IDA—IMP); GO:0060255(IDA—IMP); GO:0080090(IDA—IMP); GO:0090304(IDA—IMP); GO:0141187(IDA—IMP); GO:2001141(IDA—IMP)
ENSG00000001084	ENSG00000089041	common_go_term	GO:0009889(IDA—IDA); GO:0010467(IDA—IMP); GO:0010468(IDA—IDA); GO:0010556(IDA—IMP); GO:0019219(IDA—IDA); GO:0019752(IDA—IMP); GO:0043436(IDA—IDA); GO:0060255(IDA—IMP); GO:0080090(IDA—IMP); GO:0009889(IDA—IMP); GO:0010467(IDA—IMP); GO:0010468(IDA—IDA); GO:0010556(IDA—IMP); GO:0019219(IDA—IMP)
ENSG00000001084	ENSG00000099985	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0051252(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000100097	common_go_term	GO:0042981(IDA—IDA)
ENSG00000001084	ENSG00000100292	common_go_term	GO:0042981(IDA—IMP); GO:0043066(IDA—IMP); GO:0043069(IDA—IMP)
ENSG00000001084	ENSG00000104695	common_go_term	GO:0009889(IDA—IGI); GO:0009890(IDA—IMP); GO:0009892(IDA—IGI); GO:0010467(IDA—IMP); GO:0010468(IDA—IGI); GO:0010556(IDA—IMP); GO:0010558(IDA—IGI); GO:0010605(IDA—IMP); GO:0060255(IDA—IGI); GO:0009889(IDA—IMP); GO:0009890(IDA—IGI); GO:0009892(IDA—IMP); GO:0010467(IDA—IGI); GO:0010468(IDA—IMP); GO:0010556(IDA—IGI); GO:0010558(IDA—IMP); GO:0010605(IDA—IGI); GO:0060255(IDA—IMP)
ENSG00000001084	ENSG00000104972	common_go_term	GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IDA); GO:0010605(IDA—IDA); GO:0042981(IDA—IDA); GO:0043066(IDA—IDA); GO:0043069(IDA—IDA); GO:0060255(IDA—IDA)
ENSG00000001084	ENSG00000105383	common_go_term	GO:0009889(IDA—IMP); GO:0009890(IDA—IMP); GO:0009892(IDA—IMP); GO:0010467(IDA—IMP); GO:0010468(IDA—IMP); GO:0010556(IDA—IMP); GO:0010558(IDA—IMP); GO:0010605(IDA—IMP); GO:0060255(IDA—IMP)
ENSG00000001084	ENSG00000105866	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0051252(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000105967	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IDA); GO:0010605(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0045892(IDA—IDA); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:1902679(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000106546	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0051252(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000107882	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IDA); GO:0010605(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0045892(IDA—IDA); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:1902679(IDA—IDA); GO:2001141(IDA—IDA)
ENSG00000001084	ENSG00000108950	common_go_term	GO:0060255(IDA—IDA); GO:0080090(IDA—IDA)
