gene1	gene2	connection_type	values
FUCA2	PDK4	common_go_term	GO:0005996(IDA—IMP); GO:0019318(IDA—IMP)
FUCA2	STAB1	common_go_term	GO:0009617(IMP—IDA)
FUCA2	ADA2	common_go_term	GO:1901658(IDA—IDA)
FUCA2	LGALS1	common_go_term	GO:0052372(IMP—IDA)
FUCA2	LILRB1	common_go_term	GO:0009617(IMP—IEP)
FUCA2	AHR	common_go_term	GO:0009617(IMP—IDA)
FUCA2	SASH1	common_go_term	GO:0009617(IMP—IMP)
FUCA2	LY86	common_go_term	GO:0009617(IMP—IGI)
FUCA2	IRF5	common_go_term	GO:0009617(IMP—IDA)
FUCA2	CD36	common_go_term	GO:0009617(IMP—IDA)
FUCA2	ITGAV	common_go_term	GO:0035635(IMP—IDA); GO:0052372(IMP—IDA); GO:2000535(IMP—IDA)
FUCA2	GALM	common_go_term	GO:0005996(IDA—IDA); GO:0019318(IDA—IDA)
FUCA2	SIGLEC16	common_go_term	GO:0009617(IMP—IDA)
FUCA2	FBP1	common_go_term	GO:0005996(IDA—IMP); GO:0019318(IDA—IMP)
FUCA2	LGALS9	common_go_term	GO:0009617(IMP—IMP); GO:0052372(IMP—IDA)
FUCA2	RNASE2	common_go_term	GO:0009617(IMP—IMP)
FUCA2	RNASE6	common_go_term	GO:0009617(IMP—IDA)
FUCA2	ZNF692	common_go_term	GO:0005996(IDA—IMP); GO:0019318(IDA—IMP)
FUCA2	FUCA1	common_go_term	GO:0005996(IDA—IDA); GO:0006004(IDA—IDA); GO:0016137(IDA—IDA); GO:0016139(IDA—IDA); GO:0019318(IDA—IDA); GO:1901658(IDA—IDA)
FUCA2	MPEG1	common_go_term	GO:0009617(IMP—IDA); GO:0009617(IMP—IMP)
FUCA2	ANG	common_go_term	GO:0009617(IMP—IMP)
FUCA2	LILRB1	common_go_term	GO:0009617(IMP—IEP)
FUCA2	LILRB1	common_go_term	GO:0009617(IMP—IEP)
FUCA2	LILRB1	common_go_term	GO:0009617(IMP—IEP)
FUCA2	LILRB1	common_go_term	GO:0009617(IMP—IEP)
GCLC	PDK4	common_go_term	GO:0009889(IDA—IMP); GO:0019219(IDA—IMP); GO:0019752(IDA—IMP); GO:0034654(IDA—IMP); GO:0042981(IDA—IMP); GO:0043066(IDA—IMP); GO:0043069(IDA—IMP); GO:0043436(IDA—IMP); GO:0080090(IDA—IMP)
GCLC	ERCC1	common_go_term	GO:0009892(IDA—IMP); GO:0010605(IDA—IMP); GO:0019219(IDA—IMP); GO:0045934(IDA—IMP); GO:0060255(IDA—IMP); GO:0080090(IDA—IMP); GO:0090304(IDA—IDA); GO:0009892(IDA—IMP)
GCLC	RNF14	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0051252(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:2001141(IDA—IDA)
GCLC	FNIP2	common_go_term	GO:0006351(IDA—IDA); GO:0006355(IDA—IDA); GO:0009889(IDA—IDA); GO:0009890(IDA—IDA); GO:0009892(IDA—IDA); GO:0010467(IDA—IDA); GO:0010468(IDA—IDA); GO:0010556(IDA—IDA); GO:0010558(IDA—IDA); GO:0010605(IDA—IDA); GO:0016070(IDA—IDA); GO:0019219(IDA—IDA); GO:0032774(IDA—IDA); GO:0034654(IDA—IDA); GO:0045892(IDA—IDA); GO:0045934(IDA—IDA); GO:0051252(IDA—IDA); GO:0051253(IDA—IDA); GO:0060255(IDA—IDA); GO:0080090(IDA—IDA); GO:0090304(IDA—IDA); GO:0141187(IDA—IDA); GO:1902679(IDA—IDA); GO:2001141(IDA—IDA)
