ENSEMBL	GO_ID	Level	Category	GENE_ID	EVIDENCE	SYMBOL
ENSG00000139618	GO:0000075	4,5,6,7,8	cell cycle checkpoint signaling	675	NAS	BRCA2
ENSG00000139618	GO:0000077	5,6,7,8,9,10	DNA damage checkpoint signaling	675	NAS	BRCA2
ENSG00000139618	GO:0000226	3,6	microtubule cytoskeleton organization	675	IMP	BRCA2
ENSG00000139618	GO:0000278	3	mitotic cell cycle	675	IEA	BRCA2
ENSG00000139618	GO:0000278	3	mitotic cell cycle	675	IMP	BRCA2
ENSG00000139618	GO:0000280	6	nuclear division	675	IEA	BRCA2
ENSG00000139618	GO:0000722	7,8,9	telomere maintenance via recombination	675	IEA	BRCA2
ENSG00000139618	GO:0000723	6,7	telomere maintenance	675	IEA	BRCA2
ENSG00000139618	GO:0000724	7,8,9	double-strand break repair via homologous recombination	675	IBA	BRCA2
ENSG00000139618	GO:0000724	7,8,9	double-strand break repair via homologous recombination	675	IDA	BRCA2
ENSG00000139618	GO:0000724	7,8,9	double-strand break repair via homologous recombination	675	IEA	BRCA2
ENSG00000139618	GO:0000724	7,8,9	double-strand break repair via homologous recombination	675	IMP	BRCA2
ENSG00000139618	GO:0000725	6,7,8	recombinational repair	675	IBA	BRCA2
ENSG00000139618	GO:0000725	6,7,8	recombinational repair	675	IDA	BRCA2
ENSG00000139618	GO:0000725	6,7,8	recombinational repair	675	IEA	BRCA2
ENSG00000139618	GO:0000725	6,7,8	recombinational repair	675	IMP	BRCA2
ENSG00000139618	GO:0000910	3,4	cytokinesis	675	IEA	BRCA2
ENSG00000139618	GO:0001556	3,4,5,6,7,8,9	oocyte maturation	675	IEA	BRCA2
ENSG00000139618	GO:0001701	6,7	in utero embryonic development	675	IEA	BRCA2
ENSG00000139618	GO:0001824	3,7,8	blastocyst development	675	IEA	BRCA2
ENSG00000139618	GO:0001832	3,4,8,9	blastocyst growth	675	IEA	BRCA2
ENSG00000139618	GO:0001833	3,4,5,9,10	inner cell mass cell proliferation	675	IEA	BRCA2
ENSG00000139618	GO:0003006	2	developmental process involved in reproduction	675	IEA	BRCA2
ENSG00000139618	GO:0004402	7	histone acetyltransferase activity	675	IDA	BRCA2
ENSG00000139618	GO:0006139	4	nucleobase-containing compound metabolic process	675	IBA	BRCA2
ENSG00000139618	GO:0006139	4	nucleobase-containing compound metabolic process	675	IDA	BRCA2
ENSG00000139618	GO:0006139	4	nucleobase-containing compound metabolic process	675	IEA	BRCA2
ENSG00000139618	GO:0006139	4	nucleobase-containing compound metabolic process	675	IMP	BRCA2
ENSG00000139618	GO:0006259	5,6	DNA metabolic process	675	IBA	BRCA2
ENSG00000139618	GO:0006259	5,6	DNA metabolic process	675	IDA	BRCA2
ENSG00000139618	GO:0006259	5,6	DNA metabolic process	675	IEA	BRCA2
ENSG00000139618	GO:0006259	5,6	DNA metabolic process	675	IMP	BRCA2
ENSG00000139618	GO:0006260	6,7	DNA replication	675	IEA	BRCA2
ENSG00000139618	GO:0006260	6,7	DNA replication	675	IMP	BRCA2
ENSG00000139618	GO:0006261	7,8	DNA-templated DNA replication	675	IEA	BRCA2
ENSG00000139618	GO:0006261	7,8	DNA-templated DNA replication	675	IMP	BRCA2
ENSG00000139618	GO:0006281	5,6,7	DNA repair	675	IBA	BRCA2
ENSG00000139618	GO:0006281	5,6,7	DNA repair	675	IDA	BRCA2
ENSG00000139618	GO:0006281	5,6,7	DNA repair	675	IEA	BRCA2
ENSG00000139618	GO:0006281	5,6,7	DNA repair	675	IMP	BRCA2
ENSG00000139618	GO:0006289	6,7,8	nucleotide-excision repair	675	IMP	BRCA2
ENSG00000139618	GO:0006302	6,7,8	double-strand break repair	675	IBA	BRCA2
ENSG00000139618	GO:0006302	6,7,8	double-strand break repair	675	IDA	BRCA2
ENSG00000139618	GO:0006302	6,7,8	double-strand break repair	675	IEA	BRCA2
ENSG00000139618	GO:0006302	6,7,8	double-strand break repair	675	IMP	BRCA2
ENSG00000139618	GO:0006310	6,7	DNA recombination	675	IBA	BRCA2
ENSG00000139618	GO:0006310	6,7	DNA recombination	675	IDA	BRCA2
ENSG00000139618	GO:0006310	6,7	DNA recombination	675	IEA	BRCA2
ENSG00000139618	GO:0006310	6,7	DNA recombination	675	IMP	BRCA2
ENSG00000139618	GO:0006312	7,8	mitotic recombination	675	IEA	BRCA2
ENSG00000139618	GO:0006325	4	chromatin organization	675	IDA	BRCA2
ENSG00000139618	GO:0006325	4	chromatin organization	675	IEA	BRCA2
ENSG00000139618	GO:0006338	5	chromatin remodeling	675	IDA	BRCA2
ENSG00000139618	GO:0006338	5	chromatin remodeling	675	IEA	BRCA2
ENSG00000139618	GO:0006351	6,7,8	DNA-templated transcription	675	IBA	BRCA2
ENSG00000139618	GO:0006351	6,7,8	DNA-templated transcription	675	IDA	BRCA2
ENSG00000139618	GO:0006355	7,8,9	regulation of DNA-templated transcription	675	IBA	BRCA2
ENSG00000139618	GO:0006355	7,8,9	regulation of DNA-templated transcription	675	IDA	BRCA2
ENSG00000139618	GO:0006915	4	apoptotic process	675	IEA	BRCA2
ENSG00000139618	GO:0006950	2	response to stress	675	IBA	BRCA2
ENSG00000139618	GO:0006950	2	response to stress	675	IDA	BRCA2
ENSG00000139618	GO:0006950	2	response to stress	675	IEA	BRCA2
ENSG00000139618	GO:0006950	2	response to stress	675	IMP	BRCA2
ENSG00000139618	GO:0006950	2	response to stress	675	NAS	BRCA2
ENSG00000139618	GO:0006974	4	DNA damage response	675	IBA	BRCA2
ENSG00000139618	GO:0006974	4	DNA damage response	675	IDA	BRCA2
ENSG00000139618	GO:0006974	4	DNA damage response	675	IEA	BRCA2
ENSG00000139618	GO:0006974	4	DNA damage response	675	IMP	BRCA2
ENSG00000139618	GO:0006974	4	DNA damage response	675	NAS	BRCA2
ENSG00000139618	GO:0006996	4	organelle organization	675	IEA	BRCA2
ENSG00000139618	GO:0006996	4	organelle organization	675	IMP	BRCA2
ENSG00000139618	GO:0007010	5	cytoskeleton organization	675	IMP	BRCA2
ENSG00000139618	GO:0007017	2	microtubule-based process	675	IMP	BRCA2
ENSG00000139618	GO:0007049	2	cell cycle	675	IEA	BRCA2
ENSG00000139618	GO:0007049	2	cell cycle	675	IMP	BRCA2
ENSG00000139618	GO:0007049	2	cell cycle	675	NAS	BRCA2
ENSG00000139618	GO:0007098	3,4,5,8	centrosome cycle	675	IMP	BRCA2
ENSG00000139618	GO:0007127	4,5,6,8	meiosis I	675	IEA	BRCA2
ENSG00000139618	GO:0007140	4,5,6,8	male meiotic nuclear division	675	IEA	BRCA2
ENSG00000139618	GO:0007141	5,6,7,9	male meiosis I	675	IEA	BRCA2
ENSG00000139618	GO:0007154	2	cell communication	675	IEA	BRCA2
ENSG00000139618	GO:0007154	2	cell communication	675	NAS	BRCA2
ENSG00000139618	GO:0007165	2,3,4	signal transduction	675	IEA	BRCA2
ENSG00000139618	GO:0007165	2,3,4	signal transduction	675	NAS	BRCA2
ENSG00000139618	GO:0007275	2,3	multicellular organism development	675	IEA	BRCA2
ENSG00000139618	GO:0007276	3	gamete generation	675	IEA	BRCA2
ENSG00000139618	GO:0007281	3,4,5	germ cell development	675	IEA	BRCA2
ENSG00000139618	GO:0007283	3,5	spermatogenesis	675	IEA	BRCA2
ENSG00000139618	GO:0007292	4	female gamete generation	675	IEA	BRCA2
ENSG00000139618	GO:0007346	4,5	regulation of mitotic cell cycle	675	IEA	BRCA2
ENSG00000139618	GO:0007399	4,5	nervous system development	675	IEA	BRCA2
ENSG00000139618	GO:0007417	4,5,6	central nervous system development	675	IEA	BRCA2
ENSG00000139618	GO:0007420	4,5,6,7	brain development	675	IEA	BRCA2
ENSG00000139618	GO:0007548	3	sex differentiation	675	IEA	BRCA2
ENSG00000139618	GO:0008104	4	protein localization	675	IDA	BRCA2
ENSG00000139618	GO:0008104	4	protein localization	675	IEA	BRCA2
ENSG00000139618	GO:0008150	0	biological_process	675	IBA	BRCA2
ENSG00000139618	GO:0008150	0	biological_process	675	IDA	BRCA2
ENSG00000139618	GO:0008150	0	biological_process	675	IEA	BRCA2
ENSG00000139618	GO:0008150	0	biological_process	675	IMP	BRCA2
ENSG00000139618	GO:0008150	0	biological_process	675	NAS	BRCA2
ENSG00000139618	GO:0008152	2	metabolic process	675	IBA	BRCA2
ENSG00000139618	GO:0008152	2	metabolic process	675	IDA	BRCA2
ENSG00000139618	GO:0008152	2	metabolic process	675	IEA	BRCA2
ENSG00000139618	GO:0008152	2	metabolic process	675	IMP	BRCA2
ENSG00000139618	GO:0008219	2	cell death	675	IEA	BRCA2
ENSG00000139618	GO:0008283	2	cell population proliferation	675	IDA	BRCA2
ENSG00000139618	GO:0008283	2	cell population proliferation	675	IEA	BRCA2
ENSG00000139618	GO:0008285	3,4,5	negative regulation of cell population proliferation	675	IDA	BRCA2
ENSG00000139618	GO:0008406	4,5,6,7	gonad development	675	IEA	BRCA2
ENSG00000139618	GO:0008585	5,6,7,8	female gonad development	675	IEA	BRCA2
ENSG00000139618	GO:0008630	5,6,7	intrinsic apoptotic signaling pathway in response to DNA damage	675	IEA	BRCA2
ENSG00000139618	GO:0009058	3	biosynthetic process	675	IBA	BRCA2
ENSG00000139618	GO:0009058	3	biosynthetic process	675	IDA	BRCA2
ENSG00000139618	GO:0009059	4	macromolecule biosynthetic process	675	IBA	BRCA2
ENSG00000139618	GO:0009059	4	macromolecule biosynthetic process	675	IDA	BRCA2
ENSG00000139618	GO:0009314	3	response to radiation	675	IEA	BRCA2
ENSG00000139618	GO:0009314	3	response to radiation	675	IMP	BRCA2
ENSG00000139618	GO:0009411	5	response to UV	675	IEA	BRCA2
ENSG00000139618	GO:0009416	4	response to light stimulus	675	IEA	BRCA2
ENSG00000139618	GO:0009628	2	response to abiotic stimulus	675	IEA	BRCA2
ENSG00000139618	GO:0009628	2	response to abiotic stimulus	675	IMP	BRCA2
ENSG00000139618	GO:0009790	3,4	embryo development	675	IEA	BRCA2
ENSG00000139618	GO:0009792	4,5	embryo development ending in birth or egg hatching	675	IEA	BRCA2
ENSG00000139618	GO:0009888	3	tissue development	675	IDA	BRCA2
ENSG00000139618	GO:0009889	4,5	regulation of biosynthetic process	675	IBA	BRCA2
ENSG00000139618	GO:0009889	4,5	regulation of biosynthetic process	675	IDA	BRCA2
ENSG00000139618	GO:0009891	4,5,6	positive regulation of biosynthetic process	675	IDA	BRCA2
ENSG00000139618	GO:0009893	3,4,5	positive regulation of metabolic process	675	IDA	BRCA2
ENSG00000139618	GO:0009966	3,4,5	regulation of signal transduction	675	NAS	BRCA2
ENSG00000139618	GO:0009987	1	cellular process	675	IBA	BRCA2
ENSG00000139618	GO:0009987	1	cellular process	675	IDA	BRCA2
ENSG00000139618	GO:0009987	1	cellular process	675	IEA	BRCA2
ENSG00000139618	GO:0009987	1	cellular process	675	IMP	BRCA2
ENSG00000139618	GO:0009987	1	cellular process	675	NAS	BRCA2
ENSG00000139618	GO:0009994	3,4,5,6,7	oocyte differentiation	675	IEA	BRCA2
ENSG00000139618	GO:0010165	5	response to X-ray	675	IEA	BRCA2
ENSG00000139618	GO:0010212	4	response to ionizing radiation	675	IEA	BRCA2
ENSG00000139618	GO:0010212	4	response to ionizing radiation	675	IMP	BRCA2
ENSG00000139618	GO:0010225	6	response to UV-C	675	IEA	BRCA2
ENSG00000139618	GO:0010332	5	response to gamma radiation	675	IEA	BRCA2
ENSG00000139618	GO:0010467	5	gene expression	675	IBA	BRCA2
ENSG00000139618	GO:0010467	5	gene expression	675	IDA	BRCA2
ENSG00000139618	GO:0010468	6,7	regulation of gene expression	675	IBA	BRCA2
ENSG00000139618	GO:0010468	6,7	regulation of gene expression	675	IDA	BRCA2
ENSG00000139618	GO:0010484	8	histone H3 acetyltransferase activity	675	IDA	BRCA2
ENSG00000139618	GO:0010485	8	histone H4 acetyltransferase activity	675	IDA	BRCA2
ENSG00000139618	GO:0010556	5,6	regulation of macromolecule biosynthetic process	675	IBA	BRCA2
ENSG00000139618	GO:0010556	5,6	regulation of macromolecule biosynthetic process	675	IDA	BRCA2
